circuito,stagione,round,durata_s
Canada,2024,9,24.629
Canada,2024,9,24.408
Canada,2024,9,24.833
Canada,2024,9,24.929
Canada,2024,9,24.226
Canada,2024,9,23.860
Canada,2024,9,24.125
Canada,2024,9,24.423
Canada,2024,9,23.476
Canada,2024,9,24.346
Canada,2024,9,25.569
Canada,2024,9,25.025
Canada,2024,9,24.495
Canada,2024,9,24.804
Canada,2024,9,24.751
Canada,2024,9,65.564
Canada,2024,9,24.246
Canada,2024,9,25.431
Canada,2024,9,23.983
Canada,2024,9,28.375
Canada,2024,9,28.157
Canada,2024,9,28.817
Canada,2024,9,26.845
Canada,2025,10,23.604
Canada,2025,10,23.231
Canada,2025,10,24.130
Canada,2025,10,23.320
Canada,2025,10,24.735
Canada,2025,10,23.604
Canada,2025,10,24.021
Canada,2025,10,23.245
Canada,2025,10,23.562
Canada,2025,10,23.476
Canada,2025,10,23.898
Canada,2025,10,23.742
Canada,2025,10,23.360
Canada,2025,10,23.223
Canada,2025,10,23.121
Canada,2025,10,23.416
Canada,2025,10,23.280
Canada,2025,10,24.262
Canada,2025,10,23.174
Canada,2025,10,23.338
Canada,2025,10,23.471
Canada,2025,10,23.715
Canada,2025,10,23.409
Canada,2025,10,34.742
Canada,2025,10,23.859
Canada,2025,10,23.987
Canada,2025,10,25.178
Canada,2025,10,24.452
Canada,2025,10,23.269
Canada,2025,10,18.200
Canada,2025,10,18.298
Canada,2025,10,18.265
Canada,2025,10,18.294
Canada,2025,10,18.275
Canada,2025,10,26.385
Canada,2025,10,18.244
Canada,2025,10,18.288
Canada,2025,10,27.985
Canada,2025,10,18.331
Canada,2025,10,18.251
Canada,2025,10,18.190
Canada,2025,10,18.230
Canada,2025,10,18.211
