gara,drv,k,freeze_L,pit_P,compound_out,pitloss,residuo,gap_rejoin_sim,dpace_prepit,cambio_davanti
Austria,HAD,1,17,18,MEDIUM,21.63,3.2602,3.0743,-0.4096,1
Austria,HAD,1,39,40,HARD,21.63,0.9018,20.3380,-0.4876,1
Austria,HAD,3,17,18,MEDIUM,21.63,5.1414,1.7865,-0.4096,1
Austria,HAD,3,39,40,HARD,21.63,2.0526,21.3128,-0.4876,0
Austria,HAD,5,17,18,MEDIUM,21.63,6.5968,1.1427,-0.4096,1
Austria,HAD,5,39,40,HARD,21.63,4.2284,22.2875,-0.4876,0
Austria,HAM,1,11,12,HARD,21.63,5.7692,3.6432,-1.5665,1
Austria,HAM,1,41,42,HARD,21.63,2.5710,3.1077,-1.0216,0
Austria,HAM,3,11,12,HARD,21.63,11.5294,1.2145,-1.5665,1
Austria,HAM,3,41,42,HARD,21.63,4.5338,2.8767,-1.0216,0
Austria,HAM,5,11,12,HARD,21.63,14.5689,1.2145,-1.5665,1
Austria,HAM,5,41,42,HARD,21.63,7.0656,2.6456,-1.0216,0
Austria,HUL,1,20,21,MEDIUM,21.63,2.4849,2.8120,0.5560,1
Austria,HUL,1,44,45,HARD,21.63,2.6108,2.9762,-0.0819,1
Austria,HUL,3,44,45,HARD,21.63,5.1605,1.9025,-0.0819,1
Austria,HUL,5,44,45,HARD,21.63,8.0714,1.3656,-0.0819,1
Austria,LAW,1,18,19,HARD,21.63,5.7024,1.1190,0.0000,1
Austria,LAW,1,44,45,MEDIUM,21.63,3.0663,6.1895,0.1419,0
Austria,LAW,3,18,19,HARD,21.63,8.2538,1.1190,0.0000,1
Austria,LAW,3,44,45,MEDIUM,21.63,4.4365,6.6370,0.1419,1
Austria,LAW,5,44,45,MEDIUM,21.63,5.6378,7.0846,0.1419,1
Austria,LEC,1,12,13,HARD,21.63,5.4319,5.2615,-0.9958,1
Austria,LEC,1,36,37,HARD,21.63,4.5959,14.7689,-0.5927,1
Austria,LEC,1,58,59,SOFT,21.63,5.0232,21.3520,-0.4684,1
Austria,LEC,3,12,13,HARD,21.63,10.3209,3.2700,-0.9958,1
Austria,LEC,3,36,37,HARD,21.63,7.3978,15.3117,-0.5927,1
Austria,LEC,3,58,59,SOFT,21.63,5.7524,22.1459,-0.4684,1
Austria,LEC,5,12,13,HARD,21.63,15.4208,1.2784,-0.9958,1
Austria,LEC,5,36,37,HARD,21.63,8.8587,15.3832,-0.5927,1
Austria,LEC,5,58,59,SOFT,21.63,6.3275,22.9399,-0.4684,1
Austria,LIN,1,17,18,HARD,21.63,3.5919,2.4878,0.0920,1
Austria,LIN,1,45,46,MEDIUM,21.63,3.6564,1.8634,0.0000,1
Austria,LIN,3,17,18,HARD,21.63,6.0842,1.2421,0.0920,1
Austria,LIN,3,45,46,MEDIUM,21.63,5.1627,2.0628,0.0000,1
Austria,LIN,5,17,18,HARD,21.63,6.6859,1.2421,0.0920,1
Austria,NOR,1,20,21,HARD,21.63,5.2994,10.7325,-0.9238,1
Austria,NOR,1,46,47,HARD,21.63,3.1903,8.5604,0.0000,1
Austria,NOR,3,46,47,HARD,21.63,4.4285,9.1779,0.0000,1
Austria,OCO,1,17,18,MEDIUM,21.63,5.1747,2.5238,1.3376,1
Austria,OCO,1,32,33,HARD,21.63,8.1061,14.3858,0.8631,1
Austria,OCO,3,17,18,MEDIUM,21.63,9.0694,1.1395,1.3376,1
Austria,OCO,3,32,33,HARD,21.63,11.0551,14.2205,0.8631,1
Austria,OCO,5,17,18,MEDIUM,21.63,10.5308,1.1395,1.3376,0
Austria,OCO,5,32,33,HARD,21.63,14.0272,14.0553,0.8631,1
Austria,PIA,1,18,19,HARD,21.63,4.9584,1.8795,-0.4885,1
Austria,PIA,1,41,42,HARD,21.63,2.6480,1.9077,-0.9747,1
Austria,PIA,3,18,19,HARD,21.63,6.2856,1.3652,-0.4885,1
Austria,PIA,3,41,42,HARD,21.63,3.7001,1.7704,-0.9747,1
Austria,PIA,5,41,42,HARD,21.63,5.3501,1.6331,-0.9747,1
Austria,RUS,1,18,19,HARD,21.63,4.7354,4.2425,-1.1925,1
Austria,RUS,1,42,43,HARD,21.63,2.3905,0.7425,-1.1480,1
Austria,RUS,3,18,19,HARD,21.63,8.3309,2.6100,-1.1925,1
Austria,RUS,3,42,43,HARD,21.63,3.9996,0.7425,-1.1480,1
Austria,RUS,5,42,43,HARD,21.63,5.8226,0.7425,-1.1480,1
Austria,SAI,1,13,14,MEDIUM,21.63,4.9000,8.3485,0.6529,1
Austria,SAI,3,13,14,MEDIUM,21.63,9.5557,6.5022,0.6529,1
Austria,SAI,5,13,14,MEDIUM,21.63,13.5084,4.6560,0.6529,1
Austria,VER,1,17,18,HARD,21.63,3.4877,0.3843,-0.9964,1
