gara,team,drv,fonte,compound,lap_start,lap_end,n,life_start,life_end,life_span,pace,disp,delta_t,n_out,vicino_ritiro,stability,information
Canada,Mercedes,ANT,Sprint,MEDIUM,2,23,22,8,29,21,74.904,0.928,4.615,2,False,0.514,0.986
Canada,Racing Bulls,LIN,Sprint,HARD,2,23,22,2,23,21,75.998,0.381,1.752,5,False,0.72,0.949
Canada,Racing Bulls,LAW,Sprint,MEDIUM,2,23,22,2,23,21,77.148,0.753,3.154,2,False,0.654,0.986
Canada,Red Bull Racing,HAD,Sprint,SOFT,11,20,10,7,16,9,75.187,0.383,1.235,2,False,0.8,0.49
Canada,Red Bull Racing,VER,Sprint,MEDIUM,2,23,22,2,23,21,75.31,0.746,3.671,5,False,0.58,0.986
Canada,Williams,SAI,Sprint,MEDIUM,2,23,22,2,23,21,76.434,0.394,1.435,0,False,1.0,0.902
Canada,Williams,ALB,Sprint,SOFT,16,22,4,2,8,6,76.522,1.039,2.731,1,False,0.526,0.455
Canada,Williams,ALB,Sprint,MEDIUM,2,13,12,2,13,11,77.418,0.897,2.988,1,False,0.639,0.668
Cina,Alpine,GAS,FP,MEDIUM,13,18,6,13,18,5,98.074,0.345,0.818,2,False,0.8,0.3
Cina,Alpine,COL,FP,MEDIUM,13,18,6,13,18,5,98.614,0.263,0.729,0,False,1.0,0.287
Cina,Audi,BOR,FP,MEDIUM,11,17,4,12,17,5,98.527,1.159,3.063,1,False,0.792,0.441
Cina,Cadillac,BOT,FP,MEDIUM,10,16,6,10,16,6,99.515,1.27,4.022,1,False,0.759,0.491
Cina,Haas F1 Team,BEA,FP,MEDIUM,10,17,6,11,17,6,97.535,0.527,1.516,1,False,0.9,0.418
Cina,Haas F1 Team,OCO,FP,MEDIUM,12,15,4,12,15,3,97.723,0.346,0.877,1,False,0.9,0.245
Cina,McLaren,PIA,FP,MEDIUM,11,18,6,12,18,6,96.631,0.942,3.121,2,False,0.756,0.491
Cina,McLaren,NOR,FP,MEDIUM,15,19,5,15,19,4,97.795,1.035,2.84,1,False,0.828,0.445
Cina,Mercedes,ANT,FP,MEDIUM,10,18,9,10,18,8,96.222,0.493,1.651,3,False,0.72,0.52
Cina,Mercedes,RUS,FP,MEDIUM,10,18,9,10,18,8,96.393,0.636,2.092,1,False,0.9,0.573
Cina,Racing Bulls,LAW,FP,MEDIUM,13,19,7,13,19,6,99.343,0.452,1.526,2,False,0.8,0.438
Cina,Red Bull Racing,VER,FP,MEDIUM,9,15,7,9,15,6,99.627,0.557,1.695,0,False,1.0,0.463
Cina,Red Bull Racing,HAD,FP,MEDIUM,9,18,10,9,18,9,101.168,1.657,6.259,3,False,0.465,0.605
Cina,Williams,ALB,FP,MEDIUM,15,20,6,15,20,5,98.303,0.429,1.262,2,False,0.8,0.367
Cina,Alpine,GAS,Race,HARD,14,56,42,5,46,41,97.203,0.867,2.999,7,False,0.489,1.0
Cina,Alpine,COL,Race,MEDIUM,34,55,22,2,23,21,97.437,0.72,2.826,3,False,0.635,0.986
Cina,Alpine,GAS,Race,MEDIUM,1,9,8,2,9,7,98.622,0.21,0.625,0,False,1.0,0.335
Cina,Alpine,COL,Race,HARD,14,31,18,14,31,17,98.776,0.584,2.304,0,False,1.0,0.859
Cina,Alpine,COL,Race,HARD,1,9,8,2,9,7,98.917,0.163,0.574,1,False,0.9,0.327
Cina,Aston Martin,ALO,Race,HARD,14,30,17,14,30,16,100.242,0.901,3.779,1,True,0.254,0.827
Cina,Aston Martin,STR,Race,HARD,1,9,8,2,9,7,101.083,0.41,0.971,3,True,0.288,0.387
Cina,Aston Martin,ALO,Race,HARD,1,9,8,2,9,7,101.609,0.499,1.82,3,False,0.72,0.514
Cina,Audi,HUL,Race,MEDIUM,37,55,19,2,20,18,97.116,0.685,2.583,2,False,0.75,0.891
Cina,Audi,HUL,Race,HARD,14,34,21,14,34,20,98.588,0.694,3.183,3,False,0.661,0.955
Cina,Audi,HUL,Race,HARD,1,9,8,2,9,7,99.327,0.836,2.859,1,False,0.7,0.541
Cina,Cadillac,BOT,Race,HARD,14,55,42,4,45,41,99.737,0.565,2.901,4,False,0.72,1.0
Cina,Cadillac,PER,Race,HARD,14,55,40,3,44,41,99.743,0.718,3.68,5,False,0.637,1.0
Cina,Cadillac,PER,Race,MEDIUM,1,9,8,2,9,7,101.022,0.325,1.224,2,False,0.8,0.425
Cina,Cadillac,BOT,Race,MEDIUM,1,9,8,2,9,7,101.303,0.456,1.551,0,False,1.0,0.474
Cina,Ferrari,HAM,Race,HARD,14,56,43,4,46,42,96.697,0.704,3.14,5,False,0.651,1.0
Cina,Ferrari,LEC,Race,HARD,14,56,43,4,46,42,96.767,0.702,3.84,4,False,0.653,1.0
Cina,Ferrari,LEC,Race,MEDIUM,1,9,9,1,9,8,98.13,0.993,3.27,2,False,0.445,0.573
Cina,Ferrari,HAM,Race,MEDIUM,1,9,9,1,9,8,98.234,0.626,1.925,2,False,0.8,0.561
Cina,Haas F1 Team,OCO,Race,SOFT,48,55,8,2,9,7,96.469,0.466,1.707,1,False,0.9,0.497
Cina,Haas F1 Team,BEA,Race,HARD,14,56,43,4,46,42,97.405,0.662,2.86,8,False,0.692,1.0
Cina,Haas F1 Team,OCO,Race,MEDIUM,31,45,14,2,16,14,98.016,0.718,2.832,5,False,0.637,0.745
